hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	扎维京斯克	zāwéijīngsīkè	NONE	NONE	Завитинск	NONE	NONE
NONE	扎沃多乌科夫斯克	zāwòduōwūkēfūsīkè	NONE	NONE	Заводоуковск	NONE	NONE
NONE	叶尔绍夫	yè’ěrshàofū	NONE	NONE	Ершов	NONE	NONE
NONE	格罗兹尼	géluózīní	NONE	NONE	Грозный	NONE	NONE
NONE	多罗戈布日	duōluógēbùrì	NONE	NONE	Дорогобуж	NONE	NONE
NONE	斯韦特洛戈尔斯克	sīwéitèluògē’ěrsīkè	NONE	NONE	Светлогорск	NONE	NONE
NONE	萨兰斯克	sàlánsīkè	NONE	NONE	Саранск	NONE	NONE
NONE	基洛夫	jīluòfū	NONE	NONE	Киров	NONE	NONE
NONE	舍别基诺	shěbiéjīnuò	NONE	NONE	Шебекино	NONE	NONE
NONE	新奥斯科尔	xīn àosīkē’ěr	NONE	NONE	Новый Оскол	NONE	NONE
NONE	佳季科沃	jiājìkēwò	NONE	NONE	Дятьково	NONE	NONE
NONE	叶戈里耶夫斯克	yègēlǐyēfūsīkè	NONE	NONE	Егорьевск	NONE	NONE
NONE	叶伊斯克	yèyīsīkè	NONE	NONE	Ейск	NONE	NONE
NONE	扎波利亚尔内	zāpōlìyàěrnèi	NONE	NONE	Заполярный	NONE	NONE
NONE	日尔诺夫斯克	rì’ěrnuòfūsīkè	NONE	NONE	Жирновск	NONE	NONE
NONE	扎奥焦尔斯克	zāàojiāoěrsīkè	NONE	NONE	Заозёрск	NONE	NONE
NONE	西德维纳	xī déwéinà	NONE	NONE	Западная Двина	NONE	NONE
NONE	泽列诺格拉茨克	zéliènuògélācíkè	NONE	NONE	Зеленоградск	NONE	NONE
NONE	弗拉季高加索	fúlājìgāojiāsuǒ	NONE	NONE	Владикавказ	NONE	NONE
NONE	北莫尔斯克	běimò’ěrsīkè	NONE	NONE	Североморск	NONE	NONE
NONE	北乌拉尔斯克	běi wūlá’ěrsīkè	NONE	NONE	Североуральск	NONE	NONE
NONE	库尔恰托夫	kù’ěrqiàtuōfū	NONE	NONE	Курчатов	NONE	NONE
NONE	谢夫斯克	xièfūsīkè	NONE	NONE	Севск	NONE	NONE
NONE	谢格扎	xiègézhā	NONE	NONE	Сегежа	NONE	NONE
NONE	切尔克斯克	qiēěrkèsīkè	NONE	NONE	Черкесск	NONE	NONE
NONE	先吉列伊	xiānjílièyī	NONE	NONE	Сенгилей	NONE	NONE
NONE	绥拉菲莫维奇	suílāfēimòwéiqí	NONE	NONE	Серафимович	NONE	NONE
NONE	谢尔加奇	xiè’ěrjiāqí	NONE	NONE	Сергач	NONE	NONE
NONE	乌斯季杰古塔	wūsījì jiégǔtǎ	NONE	NONE	Усть Джегута	NONE	NONE
NONE	乌斯季伊利姆斯克	wūsījì yīlìmǔsīkè	NONE	NONE	Усть Илимск	NONE	NONE
NONE	约什卡尔奥拉	yuēshíkǎ’ěr’àolā	NONE	NONE	Йошкар Ола	NONE	NONE
NONE	奔萨	bēnsà	NONE	NONE	Пенза	NONE	NONE
NONE	伊热夫斯克	yīrèfūsīkè	NONE	NONE	Ижевск	NONE	NONE
NONE	德列兹纳	délièzīnà	NONE	NONE	Дрезна	NONE	NONE
NONE	茹科夫斯基	rúkēfūsījī	NONE	NONE	Жуковский	NONE	NONE
NONE	扎因斯克	zāyīnsīkè	NONE	NONE	Заинск	NONE	NONE
NONE	奥伦堡	àolúnbǎo	NONE	NONE	Оренбург	NONE	NONE
NONE	热尔杰夫卡	rè’ěrjiéfūkǎ	NONE	NONE	Жердевка	NONE	NONE
NONE	谢尔多布斯克	xièěrduōbùsīkè	NONE	NONE	Сердобск	NONE	NONE
NONE	谢尔普霍夫	xièěrpǔhuòfū	NONE	NONE	Серпухов	NONE	NONE
NONE	科罗恰	kēluóqià	NONE	NONE	Короча	NONE	NONE
NONE	扎奥焦尔内	zā’àojiāo’ěrnèi	NONE	NONE	Заозёрный	NONE	NONE
NONE	乌里扬诺夫斯克	wūlǐyángnuòfūsīkè	NONE	NONE	Ульяновск	NONE	NONE
NONE	苏维埃茨克	sūwéi’āicíkè	NONE	NONE	Советск	NONE	NONE
NONE	奥洛涅茨	àoluòniècí	NONE	NONE	Олонец	NONE	NONE
NONE	莫兹多克	mòzīduōkè	NONE	NONE	Моздок	NONE	NONE
NONE	叶拉布加	yèlābùjiā	NONE	NONE	Елабуга	NONE	NONE
NONE	埃利佐沃	āilìzuǒwò	NONE	NONE	Елизово	NONE	NONE
NONE	叶曼热林斯克	yèmànrèlínsīkè	NONE	NONE	Еманжелинск	NONE	NONE
NONE	奥尔斯克	àoěrsīkè	NONE	NONE	Орск	NONE	NONE
NONE	维捷布斯克	wéijiébùsīkè	NONE	NONE	Витебск	NONE	NONE
NONE	扎赖斯克	zālàisīkè	NONE	NONE	Зарайск	NONE	NONE
NONE	斯科沃罗季诺	sīkēwòluōjìnuò	NONE	NONE	Сковородино	NONE	NONE
NONE	乌恰雷	wūqiàléi	NONE	NONE	Учалы	NONE	NONE
NONE	乌亚尔	wūyà’ěr	NONE	NONE	Уяр	NONE	NONE
NONE	谢别日	xièbiérì	NONE	NONE	Себеж	NONE	NONE
NONE	斯莫尔贡	sīmòěrgòng	NONE	NONE	Сморгонь	NONE	NONE
NONE	莫斯特	mòsītè	NONE	NONE	Мосты	NONE	NONE
NONE	奥博扬	àobóyáng	NONE	NONE	Обоянь	NONE	NONE
NONE	叶夫列莫夫	yèfūlièmòfū	NONE	NONE	Ефремов	NONE	NONE
NONE	热列兹诺沃德斯克	rèlièzīnuòwòdésīkè	NONE	NONE	Железноводск	NONE	NONE
NONE	切尔尼亚霍夫斯克	qiè’ěrníyàhuòfūsīkè	NONE	NONE	Черняховск	NONE	NONE
NONE	尼亚泽彼得罗夫斯克	níyàzébǐdéluófūsīkè	NONE	NONE	Нязепетровск	NONE	NONE
NONE	沃洛科拉姆斯克	wòluòkēlāmǔsīkè	NONE	NONE	Волоколамск	NONE	NONE
NONE	斯科平	sīkēpíng	NONE	NONE	Скопин	NONE	NONE
NONE	斯拉夫戈罗德	sīlāfūgēluódé	NONE	NONE	Славгород	NONE	NONE
NONE	乌斯秋日纳	wūsīqiūrìnà	NONE	NONE	Устюжна	NONE	NONE
NONE	托罗佩茨	tuōluōpèicí	NONE	NONE	Торопец	NONE	NONE
NONE	捷尔任斯克	jié’ěrrènsīkè	NONE	NONE	Дзержинск	NONE	NONE
NONE	沃尔昌斯克	wòěrchāngsīkè	NONE	NONE	Волчанск	NONE	NONE
NONE	乌斯季-卡塔夫	wūsījì kǎtǎfū	NONE	NONE	Усть Катав	NONE	NONE
NONE	乌斯季库特	wūsījì kùtè	NONE	NONE	Усть Кут	NONE	NONE
NONE	乌斯季-拉宾斯克	wūsījì lābīnsīkè	NONE	NONE	Усть Лабинск	NONE	NONE
NONE	下塔吉尔	xià tǎjí’ěr	NONE	NONE	Нижний Тагил	NONE	NONE
NONE	伏尔加斯基	fú’ěrjiāsījī	NONE	NONE	Волжский	NONE	NONE
NONE	马格尼托哥尔斯克	mǎgénítuōgēěrsīkè	NONE	NONE	Магнитогорск	NONE	NONE
NONE	福基诺	fújīnuò	NONE	NONE	Фокино	NONE	NONE
NONE	哈罗夫斯克	hāluofūsīkè	NONE	NONE	Харовск	NONE	NONE
NONE	赫瓦伦斯克	hèwǎlúnsīkè	NONE	NONE	Хвалынск	NONE	NONE
NONE	福罗斯	fúluósī	NONE	NONE	Форос	NONE	NONE
NONE	西伯利亚乌索利耶	xībólìyà wūsuǒlìyé	NONE	NONE	Усолье Сибирское	NONE	NONE
NONE	苏贾	sūjiǎ	NONE	NONE	Суджа	NONE	NONE
NONE	卡马河畔切尔尼	kǎmǎhé pàn qiēěrní	NONE	NONE	Набережные Челны	NONE	NONE
NONE	法捷日	fǎjiérì	NONE	NONE	Фатеж	NONE	NONE
NONE	弗罗洛沃	fúluóluòwò	NONE	NONE	Фролово	NONE	NONE
NONE	晓尔基诺	xiǎo’ěrjīnuò	NONE	NONE	Щёлкино	NONE	NONE
NONE	佳特洛沃	jiātèluòwò	NONE	NONE	Дятлово	NONE	NONE
NONE	新库兹涅茨克	xīn kùzīniècíkè	NONE	NONE	Новокузнецк	NONE	NONE
NONE	伊兰斯基	yīlánsījī	NONE	NONE	Иланский	NONE	NONE
NONE	齐维利斯克	qíwéilìsīkè	NONE	NONE	Цивильск	NONE	NONE
NONE	齐姆良斯克	qímǔliángsīkè	NONE	NONE	Цимлянск	NONE	NONE
NONE	阿格雷兹	āgēléizī	NONE	NONE	Агрыз	NONE	NONE
NONE	阿兹纳卡耶沃	āzīnàkǎyēwò	NONE	NONE	Азнакаево	NONE	NONE
NONE	霍尔姆	huò’ěrmǔ	NONE	NONE	Холм	NONE	NONE
NONE	霍季科沃	huòjìkēwò	NONE	NONE	Хотьково	NONE	NONE
NONE	叶利尼亚	yèlìníyà	NONE	NONE	Ельня	NONE	NONE
NONE	顿河畔卡拉奇	dùnhépàn kǎlāqí	NONE	NONE	Калач на Дону	NONE	NONE
NONE	阿迪格斯克	ādígésīkè	NONE	NONE	Адыгейск	NONE	NONE
NONE	阿列伊斯克	ālièyīsīkè	NONE	NONE	Алейск	NONE	NONE
NONE	别洛库里哈	biéluòkùlǐhā	NONE	NONE	Белокуриха	NONE	NONE
NONE	弗里亚济诺	fúlǐyàjìnuò	NONE	NONE	Фрязино	NONE	NONE
NONE	富尔马诺夫	fù’ěrmǎnuòfū	NONE	NONE	Фурманов	NONE	NONE
NONE	哈拉巴利	hālābālì	NONE	NONE	Харабали	NONE	NONE
NONE	库济米奇	kùjìmǐqí	NONE	NONE	Кузьмичи	NONE	NONE
NONE	安德	āndé	NONE	NONE	Анд-	NONE	NONE
NONE	阿卜杜利诺	àbùdùlìnuò	NONE	NONE	Абдулино	NONE	NONE
NONE	阿吉代尔	ājídài’ěr	NONE	NONE	Агидель	NONE	NONE
NONE	亚速	yàsù	NONE	NONE	Азов	NONE	NONE
NONE	阿克多武拉克	ākèduōwǔlākè	NONE	NONE	Ак Довурак	NONE	NONE
NONE	阿巴扎	ābāzā	NONE	NONE	Абаза	NONE	NONE
NONE	比斯克	bǐsīkè	NONE	NONE	Бийск	NONE	NONE
NONE	阿尔扎马斯	ā’ěrzāmǎsī	NONE	NONE	Арзамас	NONE	NONE
NONE	阿尔卡达克	ā’ěrkǎdákè	NONE	NONE	Аркадак	NONE	NONE
NONE	阿克赛	ākèsài	NONE	NONE	Аксай	NONE	NONE
NONE	阿拉吉尔	ālājí’ěr	NONE	NONE	Алагир	NONE	NONE
NONE	德米特罗夫	démǐtèluófū	NONE	NONE	Дмитров	NONE	NONE
NONE	希姆基	xīmǔjī	NONE	NONE	Химки	NONE	NONE
NONE	科克捷别利	kēkèjiébiélì	NONE	NONE	Коктебель	NONE	NONE
NONE	阿列克谢耶夫卡	ālièkèxièyēfūkǎ	NONE	NONE	Алексеевка	NONE	NONE
NONE	阿列克辛	ālièkèxīn	NONE	NONE	Алексин	NONE	NONE
NONE	切列帕诺沃	qiēlièpànuòwò	NONE	NONE	Черепаново	NONE	NONE
NONE	沙里亚	shālǐyà	NONE	NONE	Шарья	NONE	NONE
NONE	阿尔达托夫	ā’ěrdátuōfū	NONE	NONE	Ардатов	NONE	NONE
NONE	下瓦尔托夫斯克	xià wǎěrtuōfūsīkè	NONE	NONE	Нижневартовск	NONE	NONE
NONE	阿尔乔莫夫斯克	ā’ěrqiáomòfūsīkè	NONE	NONE	Артёмовск	NONE	NONE
NONE	巴巴耶沃	bābāyēwò	NONE	NONE	Бабаево	NONE	NONE
NONE	舒梅尔利亚	shūméi’ěrlìyà	NONE	NONE	Шумерля	NONE	NONE
NONE	巴布什金	bābùshíjīn	NONE	NONE	Бабушкин	NONE	NONE
NONE	巴夫雷	bāfūléi	NONE	NONE	Бавлы	NONE	NONE
NONE	阿拉帕耶夫斯克	ālāpàyēfūsīkè	NONE	NONE	Алапаевск	NONE	NONE
NONE	阿尔乔姆	ā’ěrqiáomǔ	NONE	NONE	Артём	NONE	NONE
NONE	切尔诺戈洛夫卡	qiēěrnuògēluòfūkǎ	NONE	NONE	Черноголовка	NONE	NONE
NONE	契诃夫	qìhēfū	NONE	NONE	Чехов	NONE	NONE
NONE	奇斯托波尔	jīsītuōbō’ěr	NONE	NONE	Чистополь	NONE	NONE
NONE	沙胡尼亚	shāhúníyà	NONE	NONE	Шахунья	NONE	NONE
NONE	沙图拉	shātúlā	NONE	NONE	Шатура	NONE	NONE
NONE	沙赫特	shāhètè	NONE	NONE	Шахты	NONE	NONE
NONE	阿尔扎迈	ā’ěrzāmài	NONE	NONE	Алзамай	NONE	NONE
NONE	亚历山德罗夫斯克	yàlìshāndéluófūsīkè	NONE	NONE	Александровск-	NONE	NONE
NONE	尼基塔	níjītǎ	NONE	NONE	Никита	NONE	NONE
NONE	阿普雷列夫卡	āpǔléilièfūkǎ	NONE	NONE	Апрелевка	NONE	NONE
NONE	阿拉米尔	ālāmǐ’ěr	NONE	NONE	Арамиль	NONE	NONE
NONE	沙戈纳尔	shāgēnà’ěr	NONE	NONE	Шагонар	NONE	NONE
NONE	沙德林斯克	shādélínsīkè	NONE	NONE	Шадринск	NONE	NONE
NONE	沙里	shālǐ	NONE	NONE	Шали	NONE	NONE
NONE	亚历山德罗夫	yàlìshāndéluófū	NONE	NONE	Александров	NONE	NONE
NONE	巴格拉季奥诺夫斯克	bāgélājì’àonuòfūsīkè	NONE	NONE	Багратионовск	NONE	NONE
NONE	贝加尔斯克	bèijiā’ěrsīkè	NONE	NONE	Байкальск	NONE	NONE
NONE	切卡林	qièkǎlín	NONE	NONE	Чекалин	NONE	NONE
NONE	切尔登	qiē’ěrdēng	NONE	NONE	Чердынь	NONE	NONE
NONE	切列姆霍沃	qiēlièmǔhuòwò	NONE	NONE	Черемхово	NONE	NONE
NONE	希马诺夫斯克	xīmǎnuòfūsīkè	NONE	NONE	Шимановск	NONE	NONE
NONE	希哈内	xīhānèi	NONE	NONE	Шиханы	NONE	NONE
NONE	巴拉赫纳	bālāhènà	NONE	NONE	Балахна	NONE	NONE
NONE	下卡姆斯克	xià kǎmǔsīkè	NONE	NONE	Нижнекамск	NONE	NONE
NONE	拜马克	bàimǎkè	NONE	NONE	Баймак	NONE	NONE
NONE	白卡利特瓦	bái kǎlìtèwǎ	NONE	NONE	Белая Калитва	NONE	NONE
NONE	白霍卢尼察	báihuòlúníchá	NONE	NONE	Белая Холуница	NONE	NONE
NONE	尤戈尔斯克	yóugē’ěrsīkè	NONE	NONE	Югорск	NONE	NONE
NONE	尤扎	yóuzhā	NONE	NONE	Южа	NONE	NONE
NONE	涅留恩格里	nièliú’ēn’gēlǐ	NONE	NONE	Нерюнгри	NONE	NONE
NONE	巴拉巴诺沃	bālābānuòwò	NONE	NONE	Балабаново	NONE	NONE
NONE	恰丹	qiàdān	NONE	NONE	Чадан	NONE	NONE
NONE	柴可夫斯基	cháikěfūsījī	NONE	NONE	Чайковский	NONE	NONE
NONE	阿沙	āshā	NONE	NONE	Аша	NONE	NONE
NONE	恰普雷金	qiàpǔléijīn	NONE	NONE	Чаплыгин	NONE	NONE
NONE	切格姆	qiēgémǔ	NONE	NONE	Чегем	NONE	NONE
NONE	巴卡尔	bākǎ’ěr	NONE	NONE	Бакал	NONE	NONE
NONE	阿尔乔莫夫斯基	āěrqiáomòfūsījī	NONE	NONE	Артёмовский	NONE	NONE
NONE	阿斯别斯特	āsībiésītè	NONE	NONE	Асбест	NONE	NONE
NONE	埃列克特罗乌格利	āilièkètèluówūgélì	NONE	NONE	Электроугли	NONE	NONE
NONE	恩格斯城	ēngésīchéng	NONE	NONE	Энгельс	NONE	NONE
NONE	新乌津斯克	xīnwūjīnsīkè	NONE	NONE	Новоузенск	NONE	NONE
NONE	新乌里扬诺夫斯克	xīn wūlǐyángnuòfūsīkè	NONE	NONE	Новоульяновск	NONE	NONE
NONE	新乌拉尔斯克	xīn wūlá’ěrsīkè	NONE	NONE	Новоуральск	NONE	NONE
NONE	恰帕耶夫斯克	qiàpàyēfūsīkè	NONE	NONE	Чапаевск	NONE	NONE
NONE	阿赫图宾斯克	āhètúbīnsīkè	NONE	NONE	Ахтубинск	NONE	NONE
NONE	阿钦斯克	āqīnsīkè	NONE	NONE	Ачинск	NONE	NONE
NONE	巴拉绍夫	bālāshàofū	NONE	NONE	Балашов	NONE	NONE
NONE	巴列伊	bālièyī	NONE	NONE	Балей	NONE	NONE
NONE	丘索沃伊	qiūsuǒwòyī	NONE	NONE	Чусовой	NONE	NONE
NONE	丘赫洛马	qiūhèluòmǎ	NONE	NONE	Чухлома	NONE	NONE
NONE	下谢尔吉	xià xiè’ěrjí	NONE	NONE	Нижние Серги	NONE	NONE
NONE	下洛莫夫	xià luòmòfū	NONE	NONE	Нижний Ломов	NONE	NONE
NONE	申库尔斯克	shēnkù’ěrsīkè	NONE	NONE	Шенкурск	NONE	NONE
NONE	亚纳乌尔	yànàwū’ěr	NONE	NONE	Янаул	NONE	NONE
NONE	亚兰斯克	yàlánsīkè	NONE	NONE	Яранск	NONE	NONE
NONE	下萨尔达	xià sà’ěrdá	NONE	NONE	Нижняя Салда	NONE	NONE
NONE	下图拉	xià túlā	NONE	NONE	Нижняя Тура	NONE	NONE
NONE	尼古拉耶夫斯克	nígǔlāyēfūsīkè	NONE	NONE	Николаевск	NONE	NONE
NONE	别热茨克	biérècíkè	NONE	NONE	Бежецк	NONE	NONE
NONE	契卡洛夫斯克	qìkǎluòfūsīkè	NONE	NONE	Чкаловск	NONE	NONE
NONE	丘多沃	qiūduōwò	NONE	NONE	Чудово	NONE	NONE
NONE	奥布卢奇耶	àobùlúqíyē	NONE	NONE	Облучье	NONE	NONE
NONE	奥布宁斯克	àobùníngsīkè	NONE	NONE	Обнинск	NONE	NONE
NONE	尼科利斯克	níkēlìsīkè	NONE	NONE	Никольск	NONE	NONE
NONE	新安宁斯基	xīn’ānníngsījī	NONE	NONE	Новоаннинский	NONE	NONE
NONE	新沃罗涅日	xīn wòluónièrì	NONE	NONE	Нововоронеж	NONE	NONE
NONE	涅利多沃	nièlìduōwò	NONE	NONE	Нелидово	NONE	NONE
NONE	奥廖克明斯克	àoliàokèmíngsīkè	NONE	NONE	Олёкминск	NONE	NONE
NONE	奥列涅戈尔斯克	àolièniègēěrsīkè	NONE	NONE	Оленегорск	NONE	NONE
NONE	奥穆特宁斯克	àomùtèníngsīkè	NONE	NONE	Омутнинск	NONE	NONE
NONE	新霍皮奥尔斯克	xīn huòpí’ào’ěrsīkè	NONE	NONE	Новохопёрск	NONE	NONE
NONE	新切博克萨尔斯克	xīn qiēbókèsà’ěrsīkè	NONE	NONE	Новочебоксарск	NONE	NONE
NONE	奥列霍沃-祖耶沃	àolièhuòwò zǔyēwò	NONE	NONE	Орехово Зуево	NONE	NONE
NONE	奥萨	àosà	NONE	NONE	Оса	NONE	NONE
NONE	阿尼瓦	āníwǎ	NONE	NONE	Анива	NONE	NONE
NONE	阿穆尔斯克	āmùěrsīkè	NONE	NONE	Амурск	NONE	NONE
NONE	安加尔斯克	ānjiā’ěrsīkè	NONE	NONE	Ангарск	NONE	NONE
NONE	尼亚甘	níyàgān	NONE	NONE	Нягань	NONE	NONE
NONE	尼扬多马	níyángduōmǎ	NONE	NONE	Няндома	NONE	NONE
NONE	阿帕季特	āpàjìtè	NONE	NONE	Апатиты	NONE	NONE
NONE	莫洛杰奇诺	mòluòjiéqínuò	NONE	NONE	Молодечно	NONE	NONE
NONE	安德烈亚波尔	āndélièyàbōěr	NONE	NONE	Андреаполь	NONE	NONE
NONE	安热罗苏真斯克	ānrèluó suzhēnsīkè	NONE	NONE	Анжеро Судженск	NONE	NONE
NONE	巴拉宾斯克	bālābīnsīkè	NONE	NONE	Барабинск	NONE	NONE
NONE	亚斯内	yàsīnèi	NONE	NONE	Ясный	NONE	NONE
NONE	波洛茨克	bōluòcíkè	NONE	NONE	Полоцк	NONE	NONE
NONE	亚尔采沃	yà’ěrcǎiwò	NONE	NONE	Ярцево	NONE	NONE
NONE	亚斯诺戈尔斯克	yàsīnuògēěrsīkè	NONE	NONE	Ясногорск	NONE	NONE
NONE	新特罗伊茨克	xīntèluóyīcíkè	NONE	NONE	Новотроицк	NONE	NONE
NONE	诺林斯克	nuòlínsīkè	NONE	NONE	Нолинск	NONE	NONE
NONE	南苏霍库姆斯克	nán sūhuòkùmǔsīkè	NONE	NONE	Южно Сухокумск	NONE	NONE
NONE	亚罗沃耶	yàluówòyē	NONE	NONE	Яровое	NONE	NONE
NONE	克鲁普基	kèlǔpǔjī	NONE	NONE	Крупки	NONE	NONE
NONE	佩列斯拉夫尔-扎列斯基	pèilièsīlāfūěrzālièsījī	NONE	NONE	Переславль Залесский	NONE	NONE
NONE	佩斯托沃	pèisītuōwò	NONE	NONE	Пестово	NONE	NONE
NONE	新德文斯克	xīndéwénsīkè	NONE	NONE	Новодвинск	NONE	NONE
NONE	新济布科夫	xīnjìbùkēfū	NONE	NONE	Новозыбков	NONE	NONE
NONE	奥辛尼基	àoxīnníjī	NONE	NONE	Осинники	NONE	NONE
NONE	新库班斯克	xīnkùbānsīkè	NONE	NONE	Новокубанск	NONE	NONE
NONE	涅夫捷库姆斯克	nièfūjiékùmǔsīkè	NONE	NONE	Нефтекумск	NONE	NONE
NONE	帕拉索夫卡	pàlāsuǒfūkǎ	NONE	NONE	Палласовка	NONE	NONE
NONE	彼得罗夫瓦尔	bǐdéluófū wǎ’ěr	NONE	NONE	Петров Вал	NONE	NONE
NONE	巴甫洛沃	bāfǔluòwò	NONE	NONE	Павлово	NONE	NONE
NONE	巴甫洛夫斯克	bāfǔluòfūsīkè	NONE	NONE	Павловск	NONE	NONE
NONE	奥金佐沃	àojīnzuǒwò	NONE	NONE	Одинцово	NONE	NONE
NONE	晓基诺	xiǎojīnuò	NONE	NONE	Щёкино	NONE	NONE
NONE	新索科利尼基	xīnsuǒkēlìníjī	NONE	NONE	Новосокольники	NONE	NONE
NONE	涅夫捷尤甘斯克	nièfūjiéyóugānsīkè	NONE	NONE	Нефтеюганск	NONE	NONE
NONE	尤尔加	yóu’ěrjiā	NONE	NONE	Юрга	NONE	NONE
NONE	尤里耶夫-波利斯基	yóulǐyēfū bōlìsījī	NONE	NONE	Юрьев Польский	NONE	NONE
NONE	尤里耶韦茨	yóulǐyēwéicí	NONE	NONE	Юрьевец	NONE	NONE
NONE	诺里尔斯克	nuòlǐ’ěrsīkè	NONE	NONE	Норильск	NONE	NONE
NONE	诺亚布尔斯克	nuòyàbù’ěrsīkè	NONE	NONE	Ноябрьск	NONE	NONE
NONE	涅斯维日	nièsīwéirì	NONE	NONE	Несвиж	NONE	NONE
NONE	新乌连戈伊	xīn wūliángēyī	NONE	NONE	Новый Уренгой	NONE	NONE
NONE	佩韦克	pèiwéikè	NONE	NONE	Певек	NONE	NONE
NONE	新米丘林斯克	xīnmǐqiūlínsīkè	NONE	NONE	Новомичуринск	NONE	NONE
NONE	里亚日斯克	lǐyàrìsīkè	NONE	NONE	Ряжск	NONE	NONE
NONE	新古比雪夫斯克	xīngǔbǐxuěfūsīkè	NONE	NONE	Новокуйбышевск	NONE	NONE
NONE	新巴甫洛夫斯克	xīn bāfǔluòfūsīkè	NONE	NONE	Новопавловск	NONE	NONE
NONE	新勒热夫	xīnlèrèfū	NONE	NONE	Новоржев	NONE	NONE
NONE	诺沃西利	nuòwòxīlì	NONE	NONE	Новосиль	NONE	NONE
NONE	奥特拉德内	àotèlādénèi	NONE	NONE	Отрадный	NONE	NONE
NONE	彼得罗夫斯克	bǐdéluófūsīkè	NONE	NONE	Петровск	NONE	NONE
NONE	彼得罗夫斯克	bǐdéluófūsīkè	NONE	NONE	Петровск Забайкальский	NONE	NONE
NONE	奥斯特罗戈日斯克	àosītèluógērìsīkè	NONE	NONE	Острогожск	NONE	NONE
NONE	济马	jìmǎ	NONE	NONE	Зима	NONE	NONE
NONE	新亚历山德罗夫斯克	xīnyàlìshāndéluófūsīkè	NONE	NONE	Новоалександровск	NONE	NONE
NONE	新阿尔泰斯克	xīn’ā’ěrtàisīkè	NONE	NONE	Новоалтайск	NONE	NONE
NONE	卡缅斯克-沙赫京斯基	kǎmiǎnsīkè shāhèjīngsījī	NONE	NONE	Каменск Шахтинский	NONE	NONE
NONE	鄂毕河畔卡缅	èbìhépàn kǎmiǎn	NONE	NONE	Камень на Оби	NONE	NONE
NONE	因扎	yīnzā	NONE	NONE	Инза	NONE	NONE
NONE	努尔拉特	nǔ’ěrlātè	NONE	NONE	Нурлат	NONE	NONE
NONE	兹韦尼哥沃	zīwéinígēwò	NONE	NONE	Звенигово	NONE	NONE
NONE	佩图什基	pèitúshíjī	NONE	NONE	Петушки	NONE	NONE
NONE	奥尔洛夫	àoěrluòfū	NONE	NONE	Орлов	NONE	NONE
NONE	奥焦尔斯克	àojiāo’ěrsīkè	NONE	NONE	Озёрск	NONE	NONE
NONE	奥焦雷	àojiāoléi	NONE	NONE	Озёры	NONE	NONE
NONE	坎斯克	kǎnsīkè	NONE	NONE	Канск	NONE	NONE
NONE	卡拉巴什	kǎlābāshí	NONE	NONE	Карабаш	NONE	NONE
NONE	卡拉布拉克	kǎlābùlākè	NONE	NONE	Карабулак	NONE	NONE
NONE	佩列沃兹	pèilièwòzī	NONE	NONE	Перевоз	NONE	NONE
NONE	托博尔斯克	tuōbóěrsīkè	NONE	NONE	Тобольск	NONE	NONE
NONE	卡拉恰耶夫斯克	kǎlāqiàyēfūsīkè	NONE	NONE	Карачаевск	NONE	NONE
NONE	兹韦尼哥罗德	zīwéinígēluódé	NONE	NONE	Звенигород	NONE	NONE
NONE	奥哈	àohā	NONE	NONE	Оха	NONE	NONE
NONE	奥汉斯克	àohànsīkè	NONE	NONE	Оханск	NONE	NONE
NONE	奥乔尔	àoqiáo’ěr	NONE	NONE	Очёр	NONE	NONE
NONE	因塔	yīntǎ	NONE	NONE	Инта	NONE	NONE
NONE	伊帕托沃	yīpàtuōwò	NONE	NONE	Ипатово	NONE	NONE
NONE	兹韦列沃	zīwéilièwò	NONE	NONE	Зверево	NONE	NONE
NONE	泽列诺多尔斯克	zéliènuòduō’ěrsīkè	NONE	NONE	Зеленодольск	NONE	NONE
NONE	普拉夫斯克	pǔlāfūsīkè	NONE	NONE	Плавск	NONE	NONE
NONE	普拉斯特	pǔlāsītè	NONE	NONE	Пласт	NONE	NONE
NONE	普廖斯	pǔliáosī	NONE	NONE	Плёс	NONE	NONE
NONE	扎列奇内	zālièqínèi	NONE	NONE	Заречный	NONE	NONE
NONE	佩图霍沃	pèitúhuòwò	NONE	NONE	Петухово	NONE	NONE
NONE	克列茨克	kèliècíkè	NONE	NONE	Клецк	NONE	NONE
NONE	奥涅加	àonièjiā	NONE	NONE	Онега	NONE	NONE
NONE	奥斯塔什科夫	àosītǎshíkēfū	NONE	NONE	Осташков	NONE	NONE
NONE	尤赫诺夫	yóuhènuòfū	NONE	NONE	Юхнов	NONE	NONE
NONE	卡拉钦斯克	kǎlāqīnsīkè	NONE	NONE	Калачинск	NONE	NONE
NONE	加里宁斯克	jiālǐníngsīkè	NONE	NONE	Калининск	NONE	NONE
NONE	卡尔坦	kǎ’ěrtǎn	NONE	NONE	Калтан	NONE	NONE
NONE	伊万捷耶夫卡	yīwànjiéyēfūkǎ	NONE	NONE	Ивантеевка	NONE	NONE
NONE	内特瓦	nèitèwǎ	NONE	NONE	Нытва	NONE	NONE
NONE	纽尔巴	niǔ’ěrbā	NONE	NONE	Нюрба	NONE	NONE
NONE	新利亚利亚	xīn lìyàlìyà	NONE	NONE	Новая Ляля	NONE	NONE
