id_,wiki_id,label_zh,label_ru,xinhua,country,type,levenstein_abs,levenstein_norm,jaccard
34731,4105913,韦兹坚基,Везденьки,韦兹坚基,Ukraine,settlement,0,0.0,1.0
34732,4106153,韦连,Велень,韦连,Ukraine,settlement,0,0.0,1.0
34733,4106160,别列斯尼夫,Велеснев,韦列斯涅夫,Ukraine,settlement,2,0.4,0.42857142857142855
34734,4106163,韦列特尼夫卡,Велетневка,韦列特涅夫卡,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34735,4106181,韦利达里夫卡,Велидаровка,韦莉达萝夫卡,Ukraine,settlement,2,0.3333333333333333,0.5
34736,4106194,韦利扎罗韦,Велизарово,韦利扎罗沃,Ukraine,settlement,1,0.2,0.6666666666666666
34737,4106216,大安德里伊夫卡,Великая Андреевка,韦利卡亚·安德列耶夫卡,Ukraine,settlement,7,0.6363636363636364,0.2857142857142857
34738,4106217,大安德罗尼夫卡,Великая Андроновка,韦利卡亚·安德罗诺夫卡,Ukraine,settlement,6,0.5454545454545454,0.38461538461538464
34739,4106218,大奥列克桑德里夫卡,Великая Александровка,韦利卡亚·阿列克桑德罗夫卡,Ukraine,settlement,7,0.5384615384615384,0.375
34740,4106220,大巴布卡,Великая Бабка,韦利卡亚·巴布卡,Ukraine,settlement,5,0.625,0.3333333333333333
34741,4105734,韦格里夫卡,Вегеровка,韦格萝夫卡,Ukraine,settlement,1,0.2,0.6666666666666666
34742,4105805,韦季利齐,Ведильцы,韦季利齐,Ukraine,settlement,0,0.0,1.0
34743,4106416,大库季夏,Великие Кутыща,韦利基耶·库特夏,Ukraine,settlement,6,0.75,0.2
34744,4106417,大利西夫齐,Великие Лесовцы,韦利基耶·列索夫齐,Ukraine,settlement,6,0.6666666666666666,0.2727272727272727
34745,4106418,大拉姆扎基,Великие Ламзаки,韦利基耶·拉姆扎基,Ukraine,settlement,5,0.5555555555555556,0.4
34746,4106420,大卢基,Великие Луки,韦利基耶·卢基,Ukraine,settlement,5,0.7142857142857143,0.25
34747,4106423,大马卡里,Великие Макары,韦利基耶·马卡雷,Ukraine,settlement,6,0.75,0.2
34748,4106424,大马采维奇,Великие Мацевичи,韦利基耶·马采维奇,Ukraine,settlement,5,0.5555555555555556,0.4
34749,4106425,大明基,Великие Миньки,韦利基耶·明基,Ukraine,settlement,5,0.7142857142857143,0.25
34750,4106427,大莫什基,Великие Мошки,韦利基耶·莫什基,Ukraine,settlement,5,0.625,0.3333333333333333
34751,4106428,大莫克里亚尼,Великие Мокряны,韦利基耶·莫克里亚内,Ukraine,settlement,6,0.6,0.3333333333333333
34752,4106429,大尼兹吉尔齐,Великие Низгорцы,韦利基耶·尼兹戈尔齐,Ukraine,settlement,6,0.6,0.3333333333333333
34753,4106430,大莫什基夫齐,Великие Мошковцы,韦利基耶·莫什科夫齐,Ukraine,settlement,6,0.6,0.45454545454545453
34754,4106432,大维克尼尼,Великие Окнины,韦利基耶·奥克尼内,Ukraine,settlement,7,0.7777777777777778,0.16666666666666666
34755,4106433,大奥尔林齐,Великие Орлинцы,韦利基耶·奥尔林齐,Ukraine,settlement,5,0.5555555555555556,0.4
34756,4106434,大奥斯尼亚基,Великие Осняки,韦利基耶·奥斯尼亚基,Ukraine,settlement,5,0.5,0.45454545454545453
34757,4089901,博古京,Богутин,博古京,Ukraine,settlement,0,0.0,1.0
34758,4106476,大布拉塔利夫,Великий Браталов,韦利基·布拉塔洛夫,Ukraine,settlement,5,0.5555555555555556,0.5
34759,4106477,大布克林,Великий Букрин,韦利基·布克林,Ukraine,settlement,4,0.5714285714285714,0.375
34760,4106482,大维谢洛克,Великий Вы,韦利基·维,Ukraine,settlement,5,1.0,0.1111111111111111
34761,4106483,大维斯托罗普,Великий Выстороп,韦利基·维斯托罗普,Ukraine,settlement,4,0.4444444444444444,0.5
34762,4106484,大戈维利夫,Великий Говилов,韦利基·戈维洛夫,Ukraine,settlement,5,0.625,0.4444444444444444
34763,4106486,大加伊,Великий Гай,韦利基·盖,Ukraine,settlement,5,1.0,0.0
34764,4106497,大达利尼克,Великий Дальник,韦利基·达利尼克,Ukraine,settlement,4,0.5,0.4444444444444444
34765,4106508,大季夫林,Великий Дивлин,韦利基·季夫林,Ukraine,settlement,4,0.5714285714285714,0.375
